time_s,tracker_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,euler_x,euler_y,euler_z,vel_x,vel_y,vel_z,speed_mps,ang_vel_deg_s,is_gripping,grip_source,contact_level,raw_grip,imu_delta_deg,down_face_x,down_face_y,down_face_z
2.1933,CubeRed,-0.1320,0.6712,0.5016,0.0000,0.1634,0.0000,-0.9866,0.00,341.20,0.00,-0.0001,0.0004,0.0003,0.0005,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.3076,CubeBlue,0.0281,0.3955,0.7821,0.0000,0.0619,0.0000,0.9981,0.00,7.09,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.3078,CubeRed,-0.1299,0.6712,0.4929,0.0000,0.1634,0.0000,-0.9866,0.00,341.19,0.00,0.0410,0.0003,-0.1680,0.1729,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.3340,CubeBlue,0.0281,0.3955,0.7821,0.0000,0.0619,0.0000,0.9981,0.00,7.09,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.3341,CubeRed,-0.1266,0.6712,0.4794,0.0000,0.1634,0.0000,-0.9866,0.00,341.20,0.00,0.0283,0.0002,-0.1160,0.1194,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.3887,CubeBlue,0.0281,0.3955,0.7821,0.0000,0.0619,0.0000,0.9981,0.00,7.10,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.3888,CubeRed,-0.1264,0.6712,0.4785,0.0000,0.1634,0.0000,-0.9866,0.00,341.20,0.00,0.0086,0.0001,-0.0351,0.0362,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.5006,CubeBlue,0.0281,0.3955,0.7821,0.0000,0.0619,0.0000,0.9981,0.00,7.10,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.5007,CubeRed,-0.1260,0.6713,0.4769,0.0000,0.1633,0.0000,-0.9866,0.00,341.20,0.00,0.0072,0.0001,-0.0295,0.0303,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.5293,CubeBlue,0.0281,0.3955,0.7821,0.0000,0.0619,0.0000,0.9981,0.00,7.09,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.5298,CubeRed,-0.1254,0.6713,0.4746,0.0000,0.1633,0.0000,-0.9866,0.00,341.20,0.00,0.0049,0.0000,-0.0202,0.0208,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.5839,CubeBlue,0.0281,0.3955,0.7821,0.0000,0.0619,0.0000,0.9981,0.00,7.09,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.5840,CubeRed,-0.1254,0.6713,0.4745,0.0000,0.1633,0.0000,-0.9866,0.00,341.20,0.00,0.0016,0.0000,-0.0064,0.0065,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.6950,CubeBlue,0.0281,0.3955,0.7821,0.0000,0.0619,0.0000,0.9981,0.00,7.09,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.6952,CubeRed,-0.1253,0.6713,0.4742,0.0000,0.1633,0.0000,-0.9866,0.00,341.20,0.00,0.0013,0.0000,-0.0053,0.0055,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.7235,CubeBlue,0.0281,0.3955,0.7821,0.0000,0.0619,0.0000,0.9981,0.00,7.09,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.7236,CubeRed,-0.1252,0.6713,0.4738,0.0000,0.1633,0.0000,-0.9866,0.00,341.20,0.00,0.0009,0.0000,-0.0036,0.0037,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.7802,CubeBlue,0.0281,0.3955,0.7821,0.0000,0.0619,0.0000,0.9981,0.00,7.09,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.7803,CubeRed,-0.1252,0.6713,0.4737,0.0000,0.1634,0.0000,-0.9866,0.00,341.20,0.00,0.0003,0.0000,-0.0011,0.0012,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.8896,CubeBlue,0.0281,0.3955,0.7821,0.0000,0.0619,0.0000,0.9981,0.00,7.10,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.8897,CubeRed,-0.1252,0.6713,0.4737,0.0000,0.1634,0.0000,-0.9866,0.00,341.19,0.00,0.0002,0.0000,-0.0010,0.0010,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.9176,CubeBlue,0.0281,0.3955,0.7821,0.0000,0.0619,0.0000,0.9981,0.00,7.10,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.9177,CubeRed,-0.1252,0.6713,0.4736,0.0000,0.1634,0.0000,-0.9866,0.00,341.19,0.00,0.0002,0.0000,-0.0006,0.0007,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.9725,CubeBlue,0.0281,0.3955,0.7821,0.0000,0.0619,0.0000,0.9981,0.00,7.10,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
2.9726,CubeRed,-0.1252,0.6713,0.4736,0.0000,0.1634,0.0000,-0.9866,0.00,341.19,0.00,0.0001,0.0000,-0.0002,0.0002,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
3.0844,CubeBlue,0.0281,0.3955,0.7821,0.0000,0.0619,0.0000,0.9981,0.00,7.10,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
3.0845,CubeRed,-0.1252,0.6713,0.4736,0.0000,0.1634,0.0000,-0.9866,0.00,341.20,0.00,0.0000,0.0000,-0.0002,0.0002,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
3.1137,CubeBlue,0.0281,0.3955,0.7821,0.0000,0.0619,0.0000,0.9981,0.00,7.09,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
3.1141,CubeRed,-0.1252,0.6713,0.4736,0.0000,0.1634,0.0000,-0.9866,0.00,341.20,0.00,0.0000,0.0000,-0.0001,0.0001,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
3.1676,CubeBlue,0.0281,0.3955,0.7821,0.0000,0.0618,0.0000,0.9981,0.00,7.09,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
3.1677,CubeRed,-0.1252,0.6713,0.4736,0.0000,0.1633,0.0000,-0.9866,0.00,341.20,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
3.2785,CubeBlue,0.0281,0.3955,0.7821,0.0000,0.0618,0.0000,0.9981,0.00,7.09,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
3.2786,CubeRed,-0.1252,0.6713,0.4736,0.0000,0.1633,0.0000,-0.9866,0.00,341.20,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
3.3099,CubeBlue,0.0281,0.3955,0.7821,0.0000,0.0618,0.0000,0.9981,0.00,7.09,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
3.3100,CubeRed,-0.1252,0.6713,0.4736,0.0000,0.1634,0.0000,-0.9866,0.00,341.19,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
3.3615,CubeBlue,0.0281,0.3955,0.7821,0.0000,0.0618,0.0000,0.9981,0.00,7.09,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
3.3616,CubeRed,-0.1252,0.6713,0.4736,0.0000,0.1634,0.0000,-0.9866,0.00,341.19,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
3.4894,CubeBlue,0.0281,0.3955,0.7821,0.0000,0.0618,0.0000,0.9981,0.00,7.09,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
