time_s,tracker_id,qx,qy,qz,qw,raw_grip
9.8996,CubeRed,0.0160,-0.0448,-0.1441,0.9884,0
9.8998,CubeBlue,0.2217,0.3843,-0.1069,0.8898,0
10.0075,CubeRed,-0.0025,-0.0749,-0.1362,0.9878,0
10.0077,CubeBlue,0.2212,0.3841,-0.1078,0.8899,0
10.0406,CubeRed,-0.0212,-0.1184,-0.1504,0.9813,0
10.0409,CubeBlue,0.2212,0.3840,-0.1082,0.8899,0
10.0948,CubeRed,-0.0345,-0.1344,-0.1686,0.9759,0
10.0950,CubeBlue,0.2216,0.3842,-0.1072,0.8898,0
10.2055,CubeRed,-0.0377,-0.1415,-0.1532,0.9773,0
10.2056,CubeBlue,0.2204,0.3841,-0.1078,0.8901,0
10.2362,CubeRed,-0.0041,-0.1306,-0.0953,0.9868,0
10.2368,CubeBlue,0.2204,0.3843,-0.1068,0.8901,0
10.2890,CubeRed,-0.0084,-0.1286,-0.0646,0.9896,0
10.2892,CubeBlue,0.2204,0.3843,-0.1068,0.8901,0
10.4003,CubeRed,-0.0062,-0.1157,-0.0616,0.9914,0
10.4005,CubeBlue,0.2214,0.3843,-0.1068,0.8899,0
10.4280,CubeRed,-0.0075,-0.1354,-0.0573,0.9891,0
10.4283,CubeBlue,0.2215,0.3843,-0.1066,0.8899,0
10.4830,CubeRed,-0.0063,-0.1421,-0.0641,0.9878,0
10.4851,CubeBlue,0.2215,0.3843,-0.1066,0.8899,0
10.5888,CubeRed,-0.0039,-0.1400,-0.0505,0.9889,0
10.5891,CubeBlue,0.2217,0.3840,-0.1075,0.8898,0
10.6090,CubeRed,-0.0032,-0.1406,-0.0425,0.9892,0
10.6092,CubeBlue,0.2214,0.3839,-0.1081,0.8899,0
10.6643,CubeRed,-0.0024,-0.1406,-0.0404,0.9892,0
10.6645,CubeBlue,0.2216,0.3841,-0.1073,0.8899,0
10.7717,CubeRed,-0.0023,-0.1406,-0.0383,0.9893,0
10.7718,CubeBlue,0.2214,0.3840,-0.1074,0.8899,0
10.8055,CubeRed,-0.0013,-0.1407,-0.0328,0.9895,0
10.8060,CubeBlue,0.2216,0.3842,-0.1068,0.8899,0
10.8597,CubeRed,-0.0010,-0.1407,-0.0312,0.9896,0
10.8599,CubeBlue,0.2217,0.3841,-0.1071,0.8899,0
10.9690,CubeRed,-0.0008,-0.1407,-0.0279,0.9897,0
10.9692,CubeBlue,0.2218,0.3840,-0.1075,0.8898,0
10.9996,CubeRed,-0.0008,-0.1407,-0.0238,0.9898,0
10.9998,CubeBlue,0.2221,0.3841,-0.1075,0.8897,0
11.0547,CubeRed,-0.0006,-0.1407,-0.0225,0.9898,0
11.0549,CubeBlue,0.2221,0.3841,-0.1075,0.8897,0
11.1641,CubeRed,-0.0006,-0.1408,-0.0201,0.9898,0
11.1642,CubeBlue,0.2207,0.3841,-0.1077,0.8900,0
11.1923,CubeRed,-0.0007,-0.1408,-0.0167,0.9899,0
11.1925,CubeBlue,0.2208,0.3842,-0.1072,0.8900,0
11.2469,CubeRed,-0.0004,-0.1408,-0.0155,0.9899,0
11.2470,CubeBlue,0.2215,0.3841,-0.1077,0.8898,0
11.3599,CubeRed,-0.0005,-0.1408,-0.0144,0.9899,0
11.3601,CubeBlue,0.2213,0.3843,-0.1068,0.8899,0
11.3872,CubeRed,-0.0003,-0.1409,-0.0103,0.9900,0
11.3877,CubeBlue,0.2215,0.3842,-0.1072,0.8899,0
11.4411,CubeRed,0.0003,-0.1409,-0.0095,0.9900,0
11.4413,CubeBlue,0.2209,0.3841,-0.1075,0.8900,0
11.5535,CubeRed,0.0010,-0.1409,-0.0085,0.9900,0
11.5537,CubeBlue,0.2216,0.3841,-0.1073,0.8898,0
11.5809,CubeRed,0.0013,-0.1408,-0.0061,0.9900,0
11.5811,CubeBlue,0.2213,0.3842,-0.1072,0.8899,0
11.6386,CubeRed,0.0010,-0.1408,-0.0051,0.9900,0
11.6387,CubeBlue,0.2213,0.3842,-0.1072,0.8899,0
11.7477,CubeRed,0.0011,-0.1408,-0.0047,0.9900,0
11.7478,CubeBlue,0.2212,0.3841,-0.1074,0.8900,0
11.7756,CubeRed,0.0013,-0.1408,-0.0036,0.9900,0
11.7757,CubeBlue,0.2214,0.3838,-0.1083,0.8899,0
11.8299,CubeRed,0.0011,-0.1409,-0.0034,0.9900,0
11.8301,CubeBlue,0.2218,0.3839,-0.1079,0.8898,0
11.9424,CubeRed,0.0011,-0.1409,-0.0034,0.9900,0
11.9426,CubeBlue,0.2214,0.3842,-0.1070,0.8899,0
11.9708,CubeRed,-0.0001,-0.1409,-0.0024,0.9900,0
11.9713,CubeBlue,0.2212,0.3841,-0.1071,0.8900,0
12.0241,CubeRed,0.0008,-0.1409,-0.0025,0.9900,0
