time_s,tracker_id,qx,qy,qz,qw,raw_grip
5.7522,CubeBlue,-0.0009,-0.5408,-0.0372,0.8403,7
5.7752,CubeRed,-0.1859,0.2213,-0.6604,0.6931,0
5.7755,CubeBlue,-0.0046,-0.5587,-0.0401,0.8284,0
5.8284,CubeRed,-0.1864,0.2208,-0.6601,0.6933,0
5.8286,CubeBlue,-0.0046,-0.5587,-0.0401,0.8284,0
5.9423,CubeRed,-0.1865,0.2208,-0.6606,0.6929,0
5.9425,CubeBlue,-0.0121,-0.5985,-0.0408,0.8000,0
5.9699,CubeRed,-0.2170,0.2431,-0.6603,0.6766,0
5.9705,CubeBlue,-0.0114,-0.5988,-0.0315,0.8002,0
6.0250,CubeRed,-0.2178,0.2463,-0.6599,0.6756,36
6.0252,CubeBlue,-0.0109,-0.5989,-0.0295,0.8002,0
6.1361,CubeRed,-0.2156,0.2466,-0.6602,0.6759,36
6.1363,CubeBlue,-0.0111,-0.5990,-0.0260,0.8002,0
6.1642,CubeRed,-0.2435,0.2727,-0.6586,0.6577,0
6.1645,CubeBlue,-0.0104,-0.5991,-0.0229,0.8003,0
6.2179,CubeRed,-0.2458,0.2784,-0.6522,0.6608,40
6.2180,CubeBlue,-0.0106,-0.5991,-0.0215,0.8003,0
6.3300,CubeRed,-0.2551,0.2851,-0.6540,0.6526,40
6.3303,CubeBlue,-0.0102,-0.5992,-0.0187,0.8003,0
6.3584,CubeRed,-0.2245,0.2534,-0.6680,0.6627,0
6.3586,CubeBlue,-0.0099,-0.5993,-0.0137,0.8004,0
6.4128,CubeRed,-0.2262,0.2527,-0.6578,0.6724,0
6.4130,CubeBlue,-0.0099,-0.5993,-0.0137,0.8004,0
6.5262,CubeRed,-0.2260,0.2529,-0.6596,0.6707,0
6.5265,CubeBlue,-0.0099,-0.5993,-0.0114,0.8004,0
6.5542,CubeRed,-0.2247,0.2541,-0.6602,0.6701,0
6.5547,CubeBlue,-0.0099,-0.5993,-0.0080,0.8004,0
6.6073,CubeRed,-0.2244,0.2545,-0.6584,0.6719,0
6.6074,CubeBlue,-0.0094,-0.5994,-0.0070,0.8004,0
6.7234,CubeRed,-0.2239,0.2551,-0.6573,0.6729,0
6.7237,CubeBlue,-0.0097,-0.5994,-0.0049,0.8004,0
6.7481,CubeRed,-0.2228,0.2565,-0.6538,0.6762,0
6.7485,CubeBlue,-0.0093,-0.5994,-0.0034,0.8004,0
6.8007,CubeRed,-0.2228,0.2566,-0.6527,0.6771,0
6.8009,CubeBlue,-0.0092,-0.5994,-0.0023,0.8004,0
6.9201,CubeRed,-0.2222,0.2571,-0.6523,0.6775,0
6.9204,CubeBlue,-0.0084,-0.5994,-0.0018,0.8004,0
6.9425,CubeRed,-0.2226,0.2570,-0.6511,0.6785,0
6.9427,CubeBlue,-0.0084,-0.5994,-0.0017,0.8004,0
6.9944,CubeRed,-0.2226,0.2570,-0.6511,0.6785,0
6.9946,CubeBlue,-0.0084,-0.5994,-0.0017,0.8004,0
7.1131,CubeRed,-0.2230,0.2567,-0.6496,0.6799,0
7.1133,CubeBlue,-0.0085,-0.5777,-0.0144,0.8161,0
7.1371,CubeRed,-0.2233,0.2567,-0.6492,0.6803,0
7.1375,CubeBlue,0.0383,-0.4447,-0.1390,0.8840,0
7.1900,CubeRed,-0.2227,0.2573,-0.6495,0.6800,0
7.1902,CubeBlue,0.0192,-0.4045,-0.1363,0.9041,0
7.3046,CubeRed,-0.2229,0.2572,-0.6492,0.6802,0
7.3048,CubeBlue,0.0416,-0.3681,-0.1328,0.9193,0
7.3315,CubeRed,-0.2236,0.2566,-0.6487,0.6807,0
7.3317,CubeBlue,0.0625,-0.3493,-0.0905,0.9305,0
7.3852,CubeRed,-0.2236,0.2566,-0.6487,0.6807,0
7.3854,CubeBlue,0.0613,-0.3501,-0.0895,0.9304,0
7.4983,CubeRed,-0.2237,0.2566,-0.6489,0.6805,0
7.4985,CubeBlue,0.0587,-0.3502,-0.0856,0.9309,0
7.5262,CubeRed,-0.2229,0.2575,-0.6488,0.6804,0
7.5264,CubeBlue,0.0550,-0.3504,-0.0809,0.9315,0
7.5815,CubeRed,-0.2226,0.2578,-0.6487,0.6805,0
7.5817,CubeBlue,0.0541,-0.3504,-0.0794,0.9316,0
7.6920,CubeRed,-0.2237,0.2570,-0.6483,0.6809,0
7.6924,CubeBlue,0.0530,-0.3505,-0.0782,0.9318,0
7.7201,CubeRed,-0.2236,0.2571,-0.6484,0.6808,0
7.7206,CubeBlue,0.0495,-0.3507,-0.0735,0.9323,0
