time_s,tracker_id,pos_x,pos_y,pos_z,rot_y,is_gripping,down_face_x,down_face_y,down_face_z
3.0326,CubeBlue,-0.2289,0.3925,0.9575,4.56,0,0.00,-1.00,0.00
3.1481,CubeRed,-0.0045,0.6684,0.7122,349.93,0,0.00,-1.00,0.00
3.1482,CubeBlue,-0.2289,0.3925,0.9575,4.56,0,0.00,-1.00,0.00
3.1692,CubeRed,-0.0045,0.6684,0.7122,349.94,0,0.00,-1.00,0.00
3.1694,CubeBlue,-0.2289,0.3925,0.9575,4.56,0,0.00,-1.00,0.00
3.2162,CubeRed,-0.0045,0.6684,0.7122,349.94,0,0.00,-1.00,0.00
3.2163,CubeBlue,-0.2289,0.3925,0.9575,4.56,0,0.00,-1.00,0.00
3.3395,CubeRed,-0.0045,0.6684,0.7122,349.94,0,0.00,-1.00,0.00
3.3397,CubeBlue,-0.1463,0.6684,0.6992,4.57,0,0.00,-1.00,0.00
3.3952,CubeRed,-0.0045,0.6684,0.7122,349.94,0,0.00,-1.00,0.00
3.3954,CubeBlue,-0.1463,0.6684,0.6992,4.57,0,0.00,-1.00,0.00
3.4148,CubeRed,-0.0045,0.6684,0.7122,349.95,0,0.00,-1.00,0.00
3.4150,CubeBlue,-0.1463,0.6684,0.6992,4.57,0,0.00,-1.00,0.00
3.5666,CubeRed,-0.0045,0.6684,0.7122,349.95,0,0.00,-1.00,0.00
3.5668,CubeBlue,-0.1463,0.6684,0.6992,4.57,0,0.00,-1.00,0.00
3.5919,CubeRed,-0.0045,0.6684,0.7122,349.95,0,0.00,-1.00,0.00
3.5924,CubeBlue,-0.1463,0.6684,0.6992,4.58,0,0.00,-1.00,0.00
3.6361,CubeRed,-0.0045,0.6684,0.7122,349.95,0,0.00,-1.00,0.00
3.6363,CubeBlue,-0.1463,0.6684,0.6992,4.58,0,0.00,-1.00,0.00
3.7572,CubeRed,-0.0045,0.6684,0.7122,349.95,0,0.00,-1.00,0.00
3.7573,CubeBlue,-0.1463,0.6684,0.6992,4.59,0,0.00,-1.00,0.00
3.7767,CubeRed,-0.0045,0.6684,0.7122,349.96,0,0.00,-1.00,0.00
3.7769,CubeBlue,-0.1463,0.6684,0.6992,4.59,0,0.00,-1.00,0.00
3.8229,CubeRed,-0.0045,0.6684,0.7122,349.96,0,0.00,-1.00,0.00
3.8231,CubeBlue,-0.1463,0.6684,0.6992,4.59,0,0.00,-1.00,0.00
3.9411,CubeRed,-0.0045,0.6684,0.7122,349.96,0,0.00,-1.00,0.00
3.9414,CubeBlue,-0.1463,0.6684,0.6992,4.59,0,0.00,-1.00,0.00
3.9589,CubeRed,-0.0045,0.6684,0.7122,349.97,0,0.00,-1.00,0.00
3.9591,CubeBlue,-0.1463,0.6684,0.6992,4.60,0,0.00,-1.00,0.00
