time_s,tracker_id,bbox_x,bbox_y,bbox_w,bbox_h,bbox_score,kp0_x,kp0_y,kp0_v,kp1_x,kp1_y,kp1_v,kp2_x,kp2_y,kp2_v,kp3_x,kp3_y,kp3_v,calib_status
6.0897,Red,439.11,443.08,91.28,107.40,0.711,471.10,418.47,1.000,421.63,408.21,1.000,403.20,442.34,1.000,452.86,455.33,1.000,ongoing
6.2711,Unknown,639.27,455.43,87.63,109.75,0.714,673.07,428.43,1.000,618.57,420.58,1.000,606.28,456.46,1.000,657.87,466.18,1.000,ongoing
6.2719,Unknown,436.87,437.81,88.79,103.42,0.709,461.38,415.55,1.000,416.98,410.68,1.000,406.72,442.10,1.000,449.44,446.37,1.000,ongoing
6.4544,Blue,618.94,409.37,92.20,110.67,0.716,654.21,380.61,1.000,599.11,372.80,1.000,583.67,411.59,1.000,641.75,419.56,1.000,ongoing
6.4546,Red,416.95,397.71,93.18,108.65,0.710,449.00,370.05,1.000,395.85,360.20,1.000,381.37,394.74,1.000,431.37,405.80,1.000,ongoing
6.6519,Blue,612.89,506.40,90.06,113.56,0.711,646.40,481.77,1.000,594.70,470.13,1.000,577.63,508.80,1.000,635.62,518.26,1.000,ongoing
6.6520,Red,413.10,486.51,94.08,107.65,0.710,445.61,463.70,1.000,396.43,451.84,1.000,379.89,484.83,1.000,426.37,496.97,1.000,ongoing
6.8426,Blue,615.11,505.66,91.20,113.59,0.713,651.32,481.59,1.000,596.33,468.47,1.000,577.75,507.07,1.000,632.95,518.40,1.000,ongoing
6.8428,Red,417.73,485.15,90.97,102.87,0.711,447.43,460.32,1.000,397.33,452.19,1.000,385.80,485.34,1.000,433.17,495.77,1.000,ongoing
7.0379,Blue,661.53,481.97,91.70,112.31,0.715,692.10,453.98,1.000,639.24,447.71,1.000,630.00,486.88,1.000,685.59,490.84,1.000,ongoing
7.0382,Red,464.42,464.39,86.44,106.07,0.709,490.57,443.68,1.000,444.54,432.63,1.000,427.66,466.09,1.000,473.95,475.05,1.000,ongoing
7.2317,Blue,686.03,482.52,87.25,111.50,0.715,715.33,458.27,1.000,666.05,451.50,1.000,652.62,485.58,1.000,700.24,491.80,1.000,ongoing
7.2319,Red,488.75,461.77,91.73,107.59,0.712,518.86,438.94,1.000,472.31,427.37,1.000,454.67,457.68,1.000,498.48,471.29,1.000,ongoing
7.4255,Blue,687.02,474.04,88.76,109.77,0.717,718.95,443.53,1.000,664.32,440.45,1.000,655.74,476.89,1.000,711.81,481.58,1.000,ongoing
7.4257,Red,486.12,450.50,90.94,108.80,0.714,513.94,424.41,1.000,462.17,420.53,1.000,453.52,458.18,1.000,501.05,460.18,1.000,ongoing
7.6031,Red,490.21,445.81,92.74,108.00,0.716,521.54,420.23,1.000,470.18,410.07,1.000,455.13,444.69,1.000,505.03,452.97,1.000,ongoing
7.6032,Blue,690.01,467.02,90.95,112.72,0.713,716.57,439.20,1.000,664.44,435.22,1.000,653.93,472.56,1.000,706.42,476.07,1.000,ongoing
7.7889,Red,491.35,440.97,91.72,107.07,0.715,521.50,413.13,1.000,469.66,406.09,1.000,457.86,442.26,1.000,510.27,447.63,1.000,ongoing
7.7890,Blue,691.29,465.32,91.83,112.01,0.712,719.13,436.87,1.000,664.81,432.06,1.000,653.63,471.09,1.000,708.51,475.35,1.000,ongoing
7.9816,Blue,691.81,461.76,93.50,111.40,0.714,721.70,428.40,1.000,668.72,424.55,1.000,659.24,466.96,1.000,719.70,469.05,1.000,ongoing
